matter	dept	mb
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-05-06
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-06-29
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-09-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-10-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-10-19
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-12-07
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-12-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2012-02-09
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2013-03-25
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2013-05-16
Administration of Parliamentarians' entitlements	Finance and Administration	2001-11-26
Administration of Parliamentarians' entitlements	Finance and Administration	2003-12-18
Administration of Parliamentarians' entitlements	Finance and Administration	2004-10-26
Administration of Parliamentarians' entitlements	Finance and Administration	2004-12-16
Administration of Parliamentarians' entitlements	Finance and Administration	2005-07-21
Administration of Parliamentarians' entitlements	Finance and Administration	2006-01-27
Administration of Parliamentarians' entitlements	Finance and Administration	2006-09-21
Administration of Parliamentarians' entitlements	Finance and Administration	2007-01-30
Administration of Parliamentarians' entitlements	Finance and Deregulation	2007-12-03
Administration of Parliamentarians' entitlements	Finance and Deregulation	2008-01-25
Administration of Parliamentarians' entitlements	Finance and Deregulation	2008-05-01
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-03-08
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-05-06
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-06-29
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-09-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-10-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-10-19
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-12-07
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-12-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2012-02-09
Administration of Parliamentarians' entitlements	Finance and Deregulation	2013-03-25
Administration of Parliamentarians' entitlements	Finance and Deregulation	2013-05-16
Administration of Parliamentarians' entitlements	Finance	2013-09-18
Administration of Parliamentarians' entitlements	Finance	2013-10-03
Administration of Parliamentarians' entitlements	Finance	2013-12-12
Administration of Parliamentarians' entitlements	Finance	2014-12-23
Administration of Parliamentarians' entitlements	Finance	2015-07-09
Administration of Parliamentarians' entitlements	Finance	2015-09-21
Administration of Parliamentarians' entitlements	Finance	2015-09-30
Administration of Parliamentarians' entitlements	Finance	2016-02-18
Administration of Parliamentarians' entitlements	Finance	2016-07-19
Administration of Parliamentarians' entitlements	Finance	2016-09-01
Administration of Parliamentarians' entitlements	Finance	2016-10-27
Administration of Parliamentarians' entitlements	Finance	2017-04-13
Administration of Parliamentarians' entitlements	Finance	2017-11-30
Administration of Parliamentarians' entitlements	Finance	2017-12-20
Administration of Parliamentarians' work expenses	Finance	2018-04-19
Administration of Parliamentarians' work expenses	Finance	2018-05-10
Administration of Parliamentarians' work expenses	Finance	2018-08-28
Administration of criminal justice, including -	Attorney-General's	2017-12-20
Administration of criminal justice, including -	Attorney-General's	2018-04-19
Administration of criminal justice, including -	Attorney-General's	2018-05-10
Administration of criminal justice, including -	Attorney-General's	2018-08-28
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2001-11-26
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2003-12-18
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2004-10-26
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2004-12-16
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2005-07-21
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2006-01-27
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2006-09-21
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2007-01-30
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2007-12-03
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2008-01-25
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2008-05-01
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-03-08
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-05-06
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-06-29
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-09-14
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-10-14
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2011-10-19
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2011-12-07
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2011-12-14
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2012-02-09
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2013-03-25
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2013-05-16
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture	2013-09-18
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture	2013-10-03
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture	2013-12-12
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture	2014-12-23
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture	2015-07-09
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2015-09-30
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2016-02-18
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2016-07-19
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2016-09-01
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2016-10-27
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2017-04-13
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2017-11-30
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2017-12-20
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2018-04-19
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2018-05-10
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture and Water Resources	2018-08-28
Administration of export controls on energy products	Industry, Tourism and Resources	2001-11-26
Administration of export controls on energy products	Industry, Tourism and Resources	2003-12-18
Administration of export controls on energy products	Industry, Tourism and Resources	2004-10-26
Administration of export controls on energy products	Industry, Tourism and Resources	2004-12-16
Administration of export controls on energy products	Industry, Tourism and Resources	2005-07-21
Administration of export controls on energy products	Industry, Tourism and Resources	2006-01-27
Administration of export controls on rough diamonds, uranium and thorium	Industry, Tourism and Resources	2006-09-21
Administration of export controls on rough diamonds, uranium and thorium	Industry, Tourism and Resources	2007-01-30
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2007-12-03
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2008-01-25
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2008-05-01
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2010-03-08
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2010-05-06
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2010-06-29
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2010-09-14
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2010-10-14
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2011-10-19
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2011-12-07
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2011-12-14
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2012-02-09
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2013-03-25
Administration of export controls on rough diamonds, uranium and thorium	Resources, Energy and Tourism	2013-05-16
Administration of export controls on rough diamonds, uranium and thorium	Industry	2013-09-18
Administration of export controls on rough diamonds, uranium and thorium	Industry	2013-10-03
Administration of export controls on rough diamonds, uranium and thorium	Industry	2013-12-12
Administration of export controls on rough diamonds, uranium and thorium	Industry and Science	2014-12-23
Administration of export controls on rough diamonds, uranium and thorium	Industry and Science	2015-07-09
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2015-09-21
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2015-09-30
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2016-02-18
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2016-07-19
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2016-09-01
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2016-10-27
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2017-04-13
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2017-11-30
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2017-12-20
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2018-04-19
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2018-05-10
Administration of export controls on rough diamonds, uranium and thorium	Industry, Innovation and Science	2018-08-28
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2001-11-26
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2003-12-18
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2004-10-26
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2004-12-16
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2005-07-21
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2006-01-27
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2006-09-21
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2007-01-30
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2007-12-03
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2008-01-25
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2008-05-01
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2010-03-08
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2010-05-06
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2010-06-29
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2010-09-14
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2010-10-14
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2011-10-19
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2011-12-07
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2011-12-14
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2012-02-09
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2013-03-25
Administration of international commodity agreements	Agriculture, Fisheries and Forestry	2013-05-16
Administration of international commodity agreements	Agriculture	2013-09-18
Administration of international commodity agreements	Agriculture	2013-10-03
Administration of international commodity agreements	Agriculture	2013-12-12
Administration of international commodity agreements	Agriculture	2014-12-23
Administration of international commodity agreements	Agriculture	2015-07-09
Administration of international commodity agreements	Agriculture and Water Resources	2015-09-30
Administration of international commodity agreements	Agriculture and Water Resources	2016-02-18
Administration of international commodity agreements	Agriculture and Water Resources	2016-07-19
Administration of international commodity agreements	Agriculture and Water Resources	2016-09-01
Administration of international commodity agreements	Agriculture and Water Resources	2016-10-27
Administration of international commodity agreements	Agriculture and Water Resources	2017-04-13
Administration of international commodity agreements	Agriculture and Water Resources	2017-11-30
Administration of international commodity agreements	Agriculture and Water Resources	2017-12-20
Administration of international commodity agreements	Agriculture and Water Resources	2018-04-19
Administration of international commodity agreements	Agriculture and Water Resources	2018-05-10
Administration of international commodity agreements	Agriculture and Water Resources	2018-08-28
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2001-11-26
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2003-12-18
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2004-10-26
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2004-12-16
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2005-07-21
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2006-01-27
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Heritage	2006-09-21
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Water Resources	2007-01-30
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2007-12-03
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2008-01-25
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2008-05-01
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2010-03-08
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2010-05-06
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment, Water, Heritage and the Arts	2010-06-29
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2010-09-14
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2010-10-14
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2011-10-19
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2011-12-07
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2011-12-14
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2012-02-09
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2013-03-25
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Sustainability, Environment, Water, Population and Communities	2013-05-16
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2013-09-18
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2013-10-03
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2013-12-12
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2014-12-23
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2015-07-09
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2015-09-21
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2015-09-30
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment	2016-02-18
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2016-07-19
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2016-09-01
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2016-10-27
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2017-04-13
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2017-11-30
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2017-12-20
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2018-04-19
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2018-05-10
Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands	Environment and Energy	2018-08-28
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Administration	2004-12-16
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Administration	2005-07-21
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Administration	2006-01-27
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Administration	2006-09-21
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Administration	2007-01-30
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2007-12-03
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2008-01-25
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2008-05-01
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2010-03-08
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2010-05-06
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2010-06-29
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2010-09-14
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2010-10-14
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2011-10-19
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2011-12-07
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2011-12-14
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2012-02-09
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2013-03-25
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance and Deregulation	2013-05-16
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2013-09-18
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2013-10-03
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2013-12-12
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2014-12-23
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2015-07-09
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2015-09-21
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2015-09-30
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2016-02-18
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2016-07-19
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2016-09-01
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2016-10-27
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2017-04-13
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2017-11-30
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2017-12-20
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2018-04-19
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2018-05-10
Administration of the Australian Government's self-managed general insurance fund (Comcover)	Finance	2018-08-28
Administration of the Commonwealth's self-managed general insurance fund (Comcover)	Finance and Administration	2003-12-18
Administration of the Commonwealth's self-managed general insurance fund (Comcover)	Finance and Administration	2004-10-26
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2001-11-26
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2003-12-18
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2004-10-26
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2004-12-16
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2005-07-21
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2006-01-27
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2006-09-21
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Transport and Regional Services	2007-01-30
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2007-12-03
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2008-01-25
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2008-05-01
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2010-03-08
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2010-05-06
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Attorney-General's	2010-06-29
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Regional Development and Local Government	2010-09-14
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Regional Development and Local Government	2010-10-14
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Regional Development and Local Government	2011-10-19
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Regional Development and Local Government	2011-12-07
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Local Government, Arts and Sport	2011-12-14
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Local Government, Arts and Sport	2012-02-09
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Local Government, Arts and Sport	2013-03-25
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Regional Australia, Local Government, Arts and Sport	2013-05-16
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2013-09-18
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2013-10-03
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2013-12-12
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2014-12-23
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2015-07-09
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2015-09-21
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2015-09-30
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2016-02-18
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2016-07-19
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2016-09-01
